###################################
# scenario: NI
# net: mid-caffenet
# strategy: naive
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7
0	44,30%	35,50%	55,26%	55,86%	54,39%	48,90%	47,77%	60,71%
1	47,56%	48,94%	51,83%	53,64%	51,26%	43,39%	58,98%	55,61%
2	40,06%	53,04%	46,65%	45,19%	44,09%	50,92%	54,42%	57,01%
3	46,29%	48,66%	54,64%	52,48%	44,36%	51,55%	50,64%	44,26%
4	28,40%	43,77%	43,27%	51,00%	58,26%	56,89%	52,08%	61,94%
5	34,65%	34,36%	50,14%	56,89%	59,67%	56,66%	56,16%	52,66%
6	40,80%	51,92%	51,44%	53,12%	58,19%	49,72%	50,33%	48,14%
7	30,96%	51,54%	46,28%	51,69%	56,88%	55,44%	55,72%	49,98%
8	34,32%	32,19%	40,55%	52,06%	57,86%	57,41%	57,80%	61,86%
9	46,06%	47,62%	51,80%	46,92%	42,30%	57,70%	59,98%	50,01%
avg	38,59%	44,44%	48,90%	52,44%	53,88%	52,32%	53,77%	54,69%
dev.std	6,87%	7,88%	4,84%	3,59%	6,75%	4,74%	4,06%	6,18%
###################################
# scenario: NI
# net: mid-caffenet
# strategy: cumulative
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7
0	44,16%	51,68%	59,93%	61,84%	62,63%	63,52%	64,15%	64,22%
1	47,84%	53,92%	56,59%	59,31%	62,02%	61,31%	64,44%	65,03%
2	40,53%	57,15%	57,20%	59,03%	59,72%	60,46%	63,06%	65,25%
3	46,20%	54,52%	57,58%	59,59%	62,06%	62,80%	64,05%	66,18%
4	28,58%	45,27%	49,18%	53,16%	61,38%	63,12%	64,00%	64,40%
5	34,45%	39,20%	54,12%	59,04%	62,32%	62,72%	65,08%	65,06%
6	40,59%	54,34%	59,52%	59,46%	62,13%	63,89%	65,48%	64,53%
7	30,46%	54,27%	54,79%	58,43%	61,74%	61,97%	63,69%	65,81%
8	34,53%	39,79%	43,73%	54,66%	60,24%	61,76%	62,79%	65,87%
9	46,24%	52,35%	57,93%	59,05%	60,57%	61,75%	64,97%	64,90%
avg	38,59%	50,02%	54,74%	58,28%	61,58%	62,39%	64,08%	65,15%
dev.std	6,95%	6,45%	5,04%	2,54%	0,98%	1,06%	0,86%	0,66%
###################################
# scenario: NI
# net: mid-vgg
# strategy: naive
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7
0	45,60%	35,54%	52,68%	54,25%	56,20%	46,76%	48,56%	59,65%
1	49,01%	51,14%	54,83%	59,30%	55,82%	52,44%	65,52%	57,11%
2	45,28%	56,13%	50,76%	49,35%	46,81%	53,05%	58,72%	65,39%
3	48,67%	53,79%	57,91%	60,69%	52,96%	63,46%	55,61%	54,72%
4	31,81%	47,60%	48,52%	55,31%	60,75%	57,13%	57,18%	65,71%
5	36,37%	37,29%	56,32%	58,78%	63,44%	62,18%	60,82%	56,29%
6	45,30%	54,91%	54,88%	58,14%	63,88%	54,95%	54,57%	53,69%
7	32,35%	51,54%	45,63%	57,54%	62,00%	60,60%	58,90%	56,48%
8	36,48%	36,94%	41,52%	60,99%	62,11%	62,74%	61,24%	63,10%
9	48,68%	50,96%	51,84%	52,84%	49,40%	63,75%	66,52%	57,87%
avg	41,21%	47,21%	51,45%	57,15%	58,22%	57,03%	57,90%	59,13%
dev.std	6,93%	7,95%	5,08%	3,73%	6,08%	5,78%	5,27%	4,32%
###################################
# scenario: NI
# net: mid-vgg
# strategy: cumulative
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7
0	44,93%	52,70%	63,28%	65,52%	66,45%	67,47%	68,31%	68,75%
1	49,20%	56,93%	63,04%	65,89%	68,18%	67,73%	68,97%	69,95%
2	45,54%	60,40%	62,99%	64,19%	63,47%	65,51%	67,16%	70,72%
3	48,67%	57,84%	62,36%	66,45%	65,86%	68,88%	69,08%	69,75%
4	31,83%	49,95%	53,49%	58,06%	64,08%	66,86%	67,67%	70,02%
5	36,38%	44,05%	56,54%	63,53%	67,05%	69,23%	68,00%	69,16%
6	45,20%	59,28%	62,12%	63,57%	67,52%	69,53%	69,86%	70,35%
7	32,30%	57,04%	58,55%	63,34%	66,70%	68,22%	68,65%	71,15%
8	36,03%	43,96%	48,39%	58,27%	65,19%	66,75%	69,87%	68,98%
9	48,69%	56,97%	63,41%	65,39%	65,65%	66,80%	69,90%	70,72%
avg	41,12%	53,57%	58,97%	63,20%	66,06%	67,80%	68,62%	69,87%
dev.std	6,97%	6,04%	5,15%	2,97%	1,48%	1,27%	0,97%	0,81%
