###################################
# scenario: NIC
# net: mid-caffenet
# strategy: naive
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7	Batch8	Batch9	Batch10	Batch11	Batch12	Batch13	Batch14	Batch15	Batch16	Batch17	Batch18	Batch19	Batch20	Batch21	Batch22	Batch23	Batch24	Batch25	Batch26	Batch27	Batch28	Batch29	Batch30	Batch31	Batch32	Batch33	Batch34	Batch35	Batch36	Batch37	Batch38	Batch39	Batch40	Batch41	Batch42	Batch43	Batch44	Batch45	Batch46	Batch47	Batch48	Batch49	Batch50	Batch51	Batch52	Batch53	Batch54	Batch55	Batch56	Batch57	Batch58	Batch59	Batch60	Batch61	Batch62	Batch63	Batch64	Batch65	Batch66	Batch67	Batch68	Batch69	Batch70	Batch71	Batch72	Batch73	Batch74	Batch75	Batch76	Batch77	Batch78
0	13,52%	11,87%	8,83%	8,46%	5,98%	7,33%	8,92%	10,70%	9,40%	8,42%	7,79%	7,80%	9,38%	9,87%	7,51%	8,33%	8,79%	8,97%	12,53%	10,14%	10,14%	7,44%	13,41%	9,37%	13,72%	13,98%	12,02%	8,48%	8,86%	11,79%	9,84%	11,07%	12,10%	14,60%	13,37%	15,12%	14,77%	16,43%	14,64%	10,38%	14,96%	13,90%	11,22%	14,68%	13,95%	16,71%	18,45%	15,01%	10,50%	16,96%	14,78%	13,11%	10,05%	17,18%	15,92%	14,63%	13,13%	10,69%	13,24%	18,32%	14,94%	16,12%	13,43%	18,14%	15,40%	14,88%	14,77%	17,23%	20,11%	21,71%	16,67%	19,06%	19,27%	20,63%	21,70%	22,68%	20,74%	21,91%	21,54%
1	13,52%	7,12%	8,28%	8,00%	10,86%	8,02%	8,84%	9,04%	7,31%	5,40%	6,91%	8,54%	7,56%	8,75%	7,85%	8,18%	6,08%	6,68%	8,13%	8,29%	7,28%	7,32%	8,18%	9,37%	8,40%	8,05%	7,12%	10,22%	11,32%	11,86%	9,59%	7,46%	9,77%	13,58%	17,04%	14,80%	15,34%	14,49%	14,51%	12,14%	13,74%	15,22%	14,15%	18,82%	16,18%	17,93%	19,56%	15,12%	12,79%	14,98%	12,41%	18,47%	18,52%	16,07%	10,12%	16,75%	16,23%	17,17%	20,22%	17,64%	23,84%	17,45%	16,18%	16,61%	21,55%	21,35%	22,87%	20,57%	16,75%	13,68%	20,60%	20,92%	21,71%	15,92%	15,31%	19,22%	20,56%	18,98%	18,10%
2	13,53%	9,49%	7,10%	6,39%	10,09%	7,04%	8,18%	8,60%	9,87%	8,17%	10,34%	10,05%	13,32%	11,10%	10,49%	14,60%	10,75%	11,20%	9,27%	9,70%	9,70%	8,75%	8,64%	11,52%	12,06%	9,12%	12,37%	14,41%	10,53%	12,60%	11,44%	9,56%	9,38%	8,02%	13,85%	13,76%	14,12%	12,00%	11,06%	8,91%	17,96%	19,44%	15,78%	13,15%	9,84%	12,14%	16,11%	16,86%	13,04%	15,45%	15,35%	13,94%	13,97%	15,86%	14,82%	17,27%	12,59%	15,77%	13,76%	9,82%	16,59%	17,73%	18,79%	15,91%	15,74%	18,82%	20,65%	18,31%	15,78%	13,79%	16,73%	18,33%	20,74%	16,84%	19,55%	17,79%	16,30%	20,96%	19,24%
3	13,53%	8,20%	7,57%	8,39%	7,58%	8,84%	9,37%	9,16%	11,79%	7,40%	7,03%	7,53%	7,60%	7,58%	7,47%	11,67%	7,68%	9,54%	8,96%	9,64%	10,44%	7,80%	14,58%	15,04%	15,98%	12,74%	10,96%	12,28%	14,68%	17,93%	12,16%	11,20%	10,58%	13,48%	12,73%	12,47%	15,10%	16,46%	15,34%	15,81%	12,74%	14,77%	17,07%	14,01%	13,30%	13,10%	15,45%	19,26%	20,73%	16,37%	16,36%	15,55%	13,94%	17,15%	12,40%	18,67%	22,40%	14,70%	20,55%	21,96%	19,98%	19,54%	18,28%	19,28%	16,10%	16,59%	13,28%	16,01%	17,08%	12,08%	13,42%	12,70%	15,75%	13,02%	12,59%	13,97%	17,78%	17,26%	18,82%
4	13,52%	9,47%	5,95%	6,00%	5,96%	6,11%	8,52%	9,52%	7,15%	5,53%	8,26%	7,60%	9,28%	7,34%	8,38%	8,81%	10,02%	6,18%	7,61%	9,41%	6,38%	9,47%	9,73%	12,88%	10,07%	13,28%	12,67%	11,58%	11,11%	12,13%	8,74%	10,04%	14,01%	11,87%	15,38%	14,11%	12,13%	13,38%	14,32%	12,37%	12,37%	15,63%	12,01%	11,31%	16,17%	16,46%	13,89%	14,14%	16,43%	17,29%	15,92%	17,37%	16,43%	11,87%	16,49%	11,30%	16,60%	17,55%	14,13%	13,09%	10,86%	16,18%	17,06%	17,03%	17,29%	20,96%	15,52%	21,78%	19,75%	18,93%	17,46%	20,37%	18,92%	20,78%	23,80%	20,04%	23,49%	21,17%	18,35%
5	13,53%	7,10%	8,32%	10,38%	6,96%	6,04%	6,83%	7,29%	7,36%	8,63%	8,77%	7,02%	8,61%	9,50%	8,10%	8,66%	7,02%	10,40%	10,51%	10,64%	11,03%	12,08%	10,49%	9,76%	12,70%	9,50%	9,56%	12,44%	11,79%	9,08%	9,14%	10,43%	11,47%	8,48%	10,91%	12,60%	8,04%	11,81%	13,73%	14,89%	12,65%	16,77%	17,48%	16,73%	15,35%	16,64%	18,03%	18,23%	17,47%	17,85%	15,12%	11,62%	13,99%	14,32%	15,01%	16,93%	18,96%	14,77%	16,32%	14,55%	20,28%	15,48%	18,51%	18,50%	16,80%	15,48%	14,61%	16,93%	15,69%	17,18%	22,30%	17,48%	14,01%	19,20%	19,07%	14,55%	12,36%	16,25%	13,37%
6	13,53%	7,65%	8,37%	7,82%	10,23%	9,15%	7,30%	9,56%	6,06%	11,03%	9,84%	6,28%	9,58%	8,84%	8,07%	9,18%	8,30%	8,50%	10,61%	9,20%	9,36%	8,47%	10,43%	9,94%	13,78%	11,75%	8,69%	9,32%	9,20%	12,78%	10,50%	11,20%	12,01%	10,84%	12,61%	12,48%	10,55%	14,02%	12,59%	12,42%	11,94%	13,97%	15,86%	15,26%	14,46%	11,51%	13,02%	15,13%	16,12%	17,08%	16,68%	17,62%	16,65%	19,96%	16,50%	16,46%	19,06%	17,87%	18,02%	17,23%	20,05%	18,95%	20,20%	18,66%	22,50%	24,99%	19,13%	17,70%	21,41%	19,81%	14,78%	12,35%	19,52%	19,51%	22,38%	21,95%	20,77%	17,17%	22,73%
7	13,53%	7,19%	7,92%	8,69%	7,73%	12,83%	9,87%	12,18%	6,82%	7,79%	11,70%	9,67%	9,67%	6,41%	7,24%	10,50%	10,48%	9,72%	6,79%	8,36%	8,76%	10,24%	8,63%	8,46%	9,77%	11,18%	14,67%	12,56%	11,46%	12,59%	13,45%	11,22%	12,41%	11,65%	13,71%	16,94%	17,06%	16,04%	14,20%	15,38%	17,34%	15,59%	14,53%	15,65%	10,67%	13,23%	11,03%	13,78%	11,29%	16,05%	15,22%	16,38%	17,94%	13,34%	15,58%	14,99%	11,14%	16,55%	18,52%	15,47%	15,47%	15,75%	19,54%	16,02%	17,77%	24,54%	23,46%	17,17%	19,64%	17,26%	20,51%	16,18%	17,61%	18,99%	19,34%	20,19%	16,75%	24,81%	21,56%
8	13,53%	10,62%	6,97%	7,78%	8,95%	9,80%	7,39%	7,60%	7,14%	5,73%	10,07%	9,20%	10,25%	9,31%	9,38%	11,77%	10,23%	13,56%	9,26%	9,38%	5,52%	9,44%	11,23%	12,87%	11,45%	12,59%	9,79%	12,70%	10,57%	12,93%	17,19%	15,29%	12,39%	11,08%	12,70%	11,77%	12,80%	12,51%	11,52%	11,34%	10,20%	15,00%	11,18%	14,37%	11,99%	13,33%	14,90%	13,16%	12,72%	13,52%	17,00%	16,31%	14,98%	16,63%	16,65%	19,03%	17,21%	16,22%	16,72%	18,51%	16,02%	18,10%	13,67%	14,58%	13,10%	17,45%	19,85%	13,63%	16,95%	16,17%	15,21%	12,03%	17,51%	19,64%	15,13%	15,38%	15,58%	13,40%	20,79%
9	13,52%	7,40%	8,40%	9,33%	9,90%	8,09%	10,48%	10,50%	9,98%	8,22%	7,59%	8,94%	11,01%	9,33%	8,22%	7,24%	9,21%	8,46%	7,60%	11,84%	10,78%	11,36%	15,25%	10,50%	9,59%	13,36%	13,44%	12,47%	12,66%	9,76%	13,05%	12,66%	11,53%	7,90%	12,94%	10,01%	12,45%	12,57%	13,03%	13,54%	13,14%	13,85%	10,98%	13,43%	15,62%	14,09%	17,64%	16,02%	17,62%	18,68%	16,58%	16,92%	23,21%	13,81%	17,90%	14,56%	18,96%	20,76%	16,32%	15,04%	18,66%	21,28%	17,96%	19,58%	21,32%	19,93%	18,42%	19,02%	16,83%	22,11%	19,92%	21,42%	20,20%	18,09%	16,62%	13,73%	20,04%	19,60%	23,30%
