###################################
# scenario: NC
# net: mid-caffenet
# strategy: naive
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7	Batch8
0	17,93%	14,60%	11,48%	10,74%	9,87%	10,83%	11,05%	11,01%	11,22%
1	17,94%	11,83%	9,05%	10,41%	11,11%	9,51%	10,71%	11,16%	10,75%
2	17,89%	13,50%	10,92%	11,92%	11,52%	9,26%	9,89%	8,69%	11,22%
3	17,98%	14,05%	11,21%	10,84%	11,88%	12,96%	11,78%	11,27%	9,68%
4	17,94%	13,85%	11,24%	10,50%	12,05%	12,32%	9,03%	11,19%	10,97%
5	17,91%	12,34%	11,14%	11,82%	11,98%	10,71%	10,61%	8,90%	11,48%
6	17,88%	13,51%	11,33%	9,98%	9,15%	10,89%	9,60%	10,74%	10,65%
7	17,89%	12,89%	10,73%	12,31%	11,57%	12,02%	10,19%	9,06%	9,68%
8	17,88%	12,33%	11,22%	11,88%	11,81%	11,53%	10,17%	9,08%	11,09%
9	17,93%	14,02%	12,78%	10,34%	11,40%	11,51%	10,77%	12,96%	12,53%
avg	17,92%	13,21%	10,92%	11,16%	11,22%	11,11%	10,34%	10,12%	10,75%
dev.std	0,03%	0,90%	0,91%	0,82%	0,97%	1,17%	0,78%	1,40%	0,84%
###################################
# scenario: NC
# net: mid-caffenet
# strategy: copyweights_with_reinit
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7	Batch8
0	15,99%	21,53%	25,62%	27,72%	29,11%	30,84%	32,79%	37,23%	40,87%
1	15,99%	19,98%	23,69%	26,93%	31,18%	33,54%	37,93%	41,55%	43,63%
2	15,99%	20,66%	24,57%	28,50%	32,97%	35,79%	37,39%	39,23%	43,52%
3	15,99%	19,70%	22,86%	25,90%	29,85%	32,38%	37,01%	40,71%	42,09%
4	15,99%	21,96%	25,36%	28,21%	32,20%	37,44%	39,04%	40,46%	42,51%
5	15,99%	20,13%	26,17%	31,72%	35,46%	36,36%	38,06%	39,79%	42,11%
6	15,99%	20,66%	26,39%	29,52%	31,56%	33,11%	34,56%	36,40%	40,48%
7	15,99%	20,19%	24,53%	29,78%	33,71%	38,49%	40,43%	42,36%	43,64%
8	15,99%	20,13%	26,17%	28,69%	34,24%	35,34%	36,79%	38,38%	42,00%
9	15,99%	19,70%	24,77%	27,54%	29,28%	31,41%	34,20%	37,95%	42,02%
avg	15,99%	20,55%	25,04%	28,55%	32,25%	34,81%	37,11%	39,57%	42,32%
dev.std	0,00%	0,76%	1,15%	1,63%	2,16%	2,60%	2,34%	1,92%	1,09%
###################################
# scenario: NC
# net: mid-caffenet
# strategy: cumulative
###################################
RunID	Batch0	Batch1	Batch2	Batch3	Batch4	Batch5	Batch6	Batch7	Batch8
